location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Commercial,Afternoon,Wednesday,2,Knife,Yes,2,43,Yes,Robbery,28.61233630050216,77.20991897964109,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 2,2019-01-04
Alley,Afternoon,Tuesday,3,Knife,No,5,27,Yes,Theft,28.59892740694921,77.20349873343392,Type: Theft | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 3,2024-09-13
Commercial,Night,Sunday,1,None,No,10,47,Yes,Robbery,28.610530288435548,77.21275912582558,Type: Robbery | Location: Commercial | Time: Night | Weapon: None | Suspects: 1,2015-08-18
Street,Morning,Saturday,5,Blunt Object,Yes,9,47,Yes,Theft,28.611449909442243,77.23032266006668,Type: Theft | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 5,2019-09-20
Commercial,Morning,Sunday,5,None,Yes,6,31,Yes,Robbery,28.614043018056428,77.20904808438225,Type: Robbery | Location: Commercial | Time: Morning | Weapon: None | Suspects: 5,2016-06-11
Park,Morning,Sunday,1,None,Yes,9,29,Yes,Theft,28.570478748921985,77.21215600207853,Type: Theft | Location: Park | Time: Morning | Weapon: None | Suspects: 1,2019-07-08
Residential,Morning,Wednesday,5,Blunt Object,No,7,34,Yes,Theft,28.615758884273617,77.20034803411205,Type: Theft | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 5,2024-01-09
Residential,Night,Wednesday,2,Blunt Object,Yes,7,56,Yes,Assault,28.615041335842097,77.20186397128367,Type: Assault | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 2,2022-09-03
Parking Lot,Afternoon,Friday,1,Blunt Object,Yes,4,50,Yes,Theft,28.59713588472917,77.2030203301552,Type: Theft | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2022-05-26
Street,Morning,Tuesday,2,None,Yes,9,29,No,Assault,28.614770622950147,77.22594823044389,Type: Assault | Location: Street | Time: Morning | Weapon: None | Suspects: 2,2022-06-17
Commercial,Morning,Monday,2,Knife,No,7,56,No,Robbery,28.610748628348112,77.20424333929353,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 2,2022-05-06
Commercial,Morning,Saturday,4,None,Yes,6,58,No,Assault,28.617755307942087,77.208558536057,Type: Assault | Location: Commercial | Time: Morning | Weapon: None | Suspects: 4,2017-06-13
Street,Night,Monday,5,Knife,Yes,3,52,No,Burglary,28.607097714127622,77.22894931043274,Type: Burglary | Location: Street | Time: Night | Weapon: Knife | Suspects: 5,2024-05-19
Commercial,Evening,Tuesday,2,Knife,No,0,35,No,Vandalism,28.61836466098827,77.21023792882018,Type: Vandalism | Location: Commercial | Time: Evening | Weapon: Knife | Suspects: 2,2019-12-29
Parking Lot,Morning,Tuesday,5,Knife,No,2,31,Yes,Theft,28.59767552038581,77.20499398760838,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 5,2017-10-09
Parking Lot,Night,Sunday,5,Blunt Object,No,2,37,No,Vandalism,28.6024486341879,77.19543324177832,Type: Vandalism | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 5,2015-11-22
Parking Lot,Evening,Saturday,5,None,Yes,0,32,Yes,Robbery,28.595229905231346,77.1976165227222,Type: Robbery | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 5,2022-10-30
Street,Night,Thursday,3,Knife,No,5,54,No,Burglary,28.613954476958387,77.23299905104021,Type: Burglary | Location: Street | Time: Night | Weapon: Knife | Suspects: 3,2017-04-10
Park,Night,Sunday,4,Gun,Yes,3,18,Yes,Assault,28.56605527196652,77.21301853466333,Type: Assault | Location: Park | Time: Night | Weapon: Gun | Suspects: 4,2015-05-20
Park,Afternoon,Tuesday,3,None,Yes,10,17,Yes,Homicide,28.567056588414605,77.2054234082983,Type: Homicide | Location: Park | Time: Afternoon | Weapon: None | Suspects: 3,2022-07-07
Residential,Morning,Friday,1,None,Yes,7,48,No,Assault,28.623532798212462,77.19601303499896,Type: Assault | Location: Residential | Time: Morning | Weapon: None | Suspects: 1,2018-10-04
Commercial,Afternoon,Wednesday,1,Knife,No,5,33,No,Vandalism,28.61198859096688,77.21360174918097,Type: Vandalism | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 1,2021-04-20
Parking Lot,Night,Sunday,3,Gun,Yes,3,25,Yes,Burglary,28.60103498635359,77.19672951676394,Type: Burglary | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 3,2024-08-13
Park,Morning,Monday,4,None,Yes,6,28,Yes,Theft,28.56796203631865,77.21015064196989,Type: Theft | Location: Park | Time: Morning | Weapon: None | Suspects: 4,2022-06-20
Park,Afternoon,Tuesday,3,Gun,Yes,8,31,Yes,Burglary,28.57203851064637,77.20692343883118,Type: Burglary | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 3,2016-06-17
Commercial,Evening,Monday,5,Gun,No,0,19,No,Robbery,28.612489856530583,77.21167741921805,Type: Robbery | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 5,2017-08-18
Residential,Afternoon,Saturday,2,Knife,Yes,7,47,No,Theft,28.61595072833849,77.1971839654723,Type: Theft | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 2,2022-03-02
Alley,Morning,Saturday,5,Knife,No,5,17,Yes,Homicide,28.60374918916296,77.20028187851396,Type: Homicide | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 5,2018-01-22
Street,Evening,Monday,4,Knife,No,6,47,No,Homicide,28.608857282220047,77.23484629202088,Type: Homicide | Location: Street | Time: Evening | Weapon: Knife | Suspects: 4,2024-11-19
Park,Evening,Thursday,4,Knife,Yes,6,22,No,Assault,28.562953167931138,77.20720542542281,Type: Assault | Location: Park | Time: Evening | Weapon: Knife | Suspects: 4,2016-03-15
Alley,Morning,Monday,2,Knife,Yes,2,22,No,Vandalism,28.597601452131567,77.20059088200662,Type: Vandalism | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 2,2023-05-22
Residential,Afternoon,Saturday,2,Gun,Yes,3,43,Yes,Assault,28.6225736775277,77.1961614881199,Type: Assault | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 2,2017-02-13
Alley,Night,Saturday,5,Knife,No,3,22,No,Burglary,28.597915075591093,77.19804686860273,Type: Burglary | Location: Alley | Time: Night | Weapon: Knife | Suspects: 5,2015-07-11
Alley,Afternoon,Thursday,2,Knife,No,6,39,Yes,Homicide,28.60334707212245,77.20445253287048,Type: Homicide | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 2,2024-08-21
Parking Lot,Night,Monday,4,Gun,No,2,25,Yes,Robbery,28.60108591200143,77.1955860412169,Type: Robbery | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 4,2021-11-19
Commercial,Evening,Monday,4,Knife,No,1,36,No,Homicide,28.6176566409026,77.21361778399796,Type: Homicide | Location: Commercial | Time: Evening | Weapon: Knife | Suspects: 4,2019-05-23
Park,Morning,Tuesday,3,Knife,Yes,7,44,Yes,Burglary,28.567482683249697,77.21339164010087,Type: Burglary | Location: Park | Time: Morning | Weapon: Knife | Suspects: 3,2023-03-16
Street,Evening,Friday,2,None,Yes,0,60,Yes,Robbery,28.60658424375156,77.22612275503228,Type: Robbery | Location: Street | Time: Evening | Weapon: None | Suspects: 2,2020-06-05
Residential,Night,Tuesday,3,Knife,No,1,36,No,Assault,28.62380334960224,77.20131613120626,Type: Assault | Location: Residential | Time: Night | Weapon: Knife | Suspects: 3,2016-07-29
Parking Lot,Evening,Tuesday,3,None,Yes,9,47,Yes,Robbery,28.59720779701616,77.19543865414015,Type: Robbery | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 3,2021-08-16
Parking Lot,Afternoon,Monday,5,Blunt Object,Yes,6,34,No,Vandalism,28.60295346965705,77.20022764377757,Type: Vandalism | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2022-02-01
Commercial,Morning,Wednesday,5,Blunt Object,No,4,39,No,Assault,28.61763762483444,77.20774056199471,Type: Assault | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 5,2015-07-25
Alley,Morning,Saturday,1,None,No,0,57,No,Robbery,28.60326019533933,77.19641270899817,Type: Robbery | Location: Alley | Time: Morning | Weapon: None | Suspects: 1,2021-07-16
Street,Evening,Sunday,5,None,Yes,3,28,Yes,Homicide,28.609930678311983,77.22672725207768,Type: Homicide | Location: Street | Time: Evening | Weapon: None | Suspects: 5,2023-01-18
Residential,Afternoon,Monday,5,Blunt Object,No,10,26,No,Burglary,28.6173065852396,77.19884989298248,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2015-05-28
Commercial,Morning,Monday,5,Blunt Object,Yes,5,41,No,Theft,28.61200006792866,77.20639933903588,Type: Theft | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 5,2018-03-26
Street,Evening,Tuesday,2,Knife,No,9,50,No,Theft,28.60526340781016,77.22543769544096,Type: Theft | Location: Street | Time: Evening | Weapon: Knife | Suspects: 2,2016-01-17
Residential,Night,Monday,4,None,No,1,34,Yes,Homicide,28.62396157552861,77.19738882783876,Type: Homicide | Location: Residential | Time: Night | Weapon: None | Suspects: 4,2016-11-08
Park,Evening,Wednesday,4,Knife,No,1,37,Yes,Robbery,28.565285859745856,77.21215867751478,Type: Robbery | Location: Park | Time: Evening | Weapon: Knife | Suspects: 4,2017-08-04
Street,Night,Monday,4,Blunt Object,No,6,31,Yes,Theft,28.61244545607254,77.23349645935195,Type: Theft | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 4,2017-09-07
Commercial,Afternoon,Saturday,1,Knife,Yes,4,33,No,Robbery,28.613077234136647,77.20902955124137,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 1,2016-04-02
Park,Evening,Sunday,5,Knife,No,5,22,No,Vandalism,28.562500368410937,77.20543457468577,Type: Vandalism | Location: Park | Time: Evening | Weapon: Knife | Suspects: 5,2022-04-13
Street,Afternoon,Friday,5,Blunt Object,No,6,38,Yes,Vandalism,28.61276148039533,77.23039324379747,Type: Vandalism | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2019-06-24
Street,Night,Saturday,3,Blunt Object,Yes,8,28,No,Robbery,28.605481197951725,77.22788365966424,Type: Robbery | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 3,2024-02-11
Parking Lot,Morning,Saturday,2,None,Yes,9,26,No,Theft,28.602004724385736,77.20305886737077,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 2,2019-10-31
Alley,Evening,Thursday,5,Blunt Object,Yes,7,59,No,Homicide,28.596587547378267,77.19744461828876,Type: Homicide | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 5,2021-04-18
Commercial,Evening,Monday,5,Gun,No,2,54,Yes,Burglary,28.61143506900744,77.21219068709377,Type: Burglary | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 5,2019-02-13
Park,Night,Tuesday,1,None,No,7,43,Yes,Assault,28.564485844250854,77.20765143805102,Type: Assault | Location: Park | Time: Night | Weapon: None | Suspects: 1,2019-04-19
Commercial,Night,Sunday,5,Blunt Object,Yes,8,45,No,Assault,28.610098957405988,77.20618409553991,Type: Assault | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 5,2024-11-04
Parking Lot,Morning,Sunday,4,Blunt Object,No,5,28,Yes,Homicide,28.597848223447656,77.20110904611325,Type: Homicide | Location: Parking Lot | Time: Morning | Weapon: Blunt Object | Suspects: 4,2023-10-14
Residential,Evening,Monday,1,None,Yes,6,33,No,Assault,28.61664162406569,77.19941245251161,Type: Assault | Location: Residential | Time: Evening | Weapon: None | Suspects: 1,2024-06-07
Alley,Morning,Thursday,4,Knife,Yes,3,45,Yes,Burglary,28.5984555452514,77.1983507345407,Type: Burglary | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 4,2023-09-24
Street,Morning,Wednesday,5,Knife,No,9,18,Yes,Vandalism,28.60756185523397,77.23242449718735,Type: Vandalism | Location: Street | Time: Morning | Weapon: Knife | Suspects: 5,2019-11-28
Street,Night,Thursday,1,Knife,Yes,9,23,No,Theft,28.613411225480736,77.2275267343817,Type: Theft | Location: Street | Time: Night | Weapon: Knife | Suspects: 1,2022-05-08
Parking Lot,Morning,Friday,4,None,Yes,0,21,Yes,Homicide,28.60256496679777,77.20219240211524,Type: Homicide | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 4,2022-04-24
Residential,Afternoon,Monday,5,None,Yes,3,34,No,Theft,28.618734099595315,77.20170676891871,Type: Theft | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 5,2023-10-04
Park,Afternoon,Monday,4,None,No,3,18,Yes,Homicide,28.57058884125518,77.20940690603783,Type: Homicide | Location: Park | Time: Afternoon | Weapon: None | Suspects: 4,2023-07-28
Park,Morning,Tuesday,3,Gun,No,7,55,Yes,Burglary,28.56652502037968,77.20530398306182,Type: Burglary | Location: Park | Time: Morning | Weapon: Gun | Suspects: 3,2021-02-18
Alley,Morning,Wednesday,5,None,Yes,7,32,No,Vandalism,28.60497472101326,77.20278037208368,Type: Vandalism | Location: Alley | Time: Morning | Weapon: None | Suspects: 5,2023-12-11
Commercial,Evening,Monday,2,None,Yes,4,53,No,Vandalism,28.61807198904924,77.21386240394129,Type: Vandalism | Location: Commercial | Time: Evening | Weapon: None | Suspects: 2,2017-04-16
Commercial,Morning,Saturday,2,Gun,Yes,6,54,Yes,Homicide,28.613485819525703,77.2050661614835,Type: Homicide | Location: Commercial | Time: Morning | Weapon: Gun | Suspects: 2,2022-05-13
Street,Evening,Saturday,1,Knife,No,4,20,Yes,Assault,28.609999690043303,77.23058669514414,Type: Assault | Location: Street | Time: Evening | Weapon: Knife | Suspects: 1,2016-02-08
Alley,Afternoon,Monday,2,None,Yes,7,19,No,Homicide,28.60345533716381,77.196202167482,Type: Homicide | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 2,2017-07-25
Commercial,Morning,Friday,4,Knife,Yes,5,60,No,Homicide,28.609567644190108,77.20557909680649,Type: Homicide | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 4,2022-10-01
Alley,Morning,Friday,1,Knife,Yes,1,38,Yes,Vandalism,28.60121000580916,77.20045930728291,Type: Vandalism | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 1,2018-03-30
Park,Evening,Monday,3,Gun,No,3,40,No,Theft,28.56842022339274,77.20788862083774,Type: Theft | Location: Park | Time: Evening | Weapon: Gun | Suspects: 3,2024-02-26
Parking Lot,Evening,Wednesday,4,Knife,No,7,51,Yes,Burglary,28.601804732513656,77.19718127629557,Type: Burglary | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 4,2015-10-25
Parking Lot,Evening,Saturday,1,Gun,No,2,28,No,Vandalism,28.600833594455217,77.20436794102174,Type: Vandalism | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 1,2016-06-12
Commercial,Morning,Saturday,1,Knife,Yes,7,28,Yes,Theft,28.615129736736726,77.20744292651963,Type: Theft | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 1,2021-03-18
Park,Evening,Wednesday,4,Blunt Object,No,8,59,Yes,Assault,28.56595852528184,77.20807383559679,Type: Assault | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 4,2018-01-12
Alley,Night,Saturday,4,Gun,Yes,3,56,Yes,Theft,28.60398794234532,77.20230059153924,Type: Theft | Location: Alley | Time: Night | Weapon: Gun | Suspects: 4,2020-05-28
Park,Afternoon,Saturday,1,Gun,Yes,5,40,Yes,Burglary,28.564243594598885,77.209073443718,Type: Burglary | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 1,2018-11-18
Commercial,Afternoon,Thursday,3,None,Yes,10,51,Yes,Assault,28.615109010684016,77.20552517532023,Type: Assault | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2024-10-31
Alley,Afternoon,Wednesday,5,None,Yes,0,51,No,Homicide,28.597684715459057,77.20109406300668,Type: Homicide | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 5,2017-03-06
Parking Lot,Afternoon,Saturday,3,Knife,No,2,52,No,Vandalism,28.595034754000142,77.19884044544156,Type: Vandalism | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 3,2016-05-10
Alley,Morning,Friday,4,Knife,Yes,6,58,Yes,Theft,28.595598734703604,77.20093704091795,Type: Theft | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 4,2015-08-23
Park,Afternoon,Sunday,3,Blunt Object,Yes,4,37,Yes,Burglary,28.562600886705496,77.20500860222351,Type: Burglary | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2021-01-17
Parking Lot,Evening,Wednesday,1,Blunt Object,No,6,26,Yes,Assault,28.60335706942783,77.200641448984,Type: Assault | Location: Parking Lot | Time: Evening | Weapon: Blunt Object | Suspects: 1,2015-09-16
Street,Evening,Wednesday,2,Gun,Yes,5,45,No,Theft,28.60562981448647,77.23200997805483,Type: Theft | Location: Street | Time: Evening | Weapon: Gun | Suspects: 2,2015-07-28
Commercial,Morning,Thursday,3,Blunt Object,Yes,4,54,Yes,Homicide,28.613082182098022,77.21079448420663,Type: Homicide | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 3,2019-03-05
Residential,Morning,Sunday,4,Blunt Object,No,9,27,No,Assault,28.620825544608667,77.20059074076177,Type: Assault | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 4,2019-09-20
Alley,Evening,Wednesday,2,None,Yes,1,19,No,Robbery,28.596218137786263,77.20004683199782,Type: Robbery | Location: Alley | Time: Evening | Weapon: None | Suspects: 2,2017-12-21
Park,Evening,Tuesday,5,None,No,0,56,No,Theft,28.56614907718393,77.21212321913602,Type: Theft | Location: Park | Time: Evening | Weapon: None | Suspects: 5,2019-04-12
Street,Morning,Thursday,4,None,No,4,23,Yes,Assault,28.611689886440075,77.22611371633444,Type: Assault | Location: Street | Time: Morning | Weapon: None | Suspects: 4,2019-12-14
Park,Night,Sunday,4,Gun,No,1,43,No,Burglary,28.56583101499068,77.21120314807553,Type: Burglary | Location: Park | Time: Night | Weapon: Gun | Suspects: 4,2023-08-10
Commercial,Afternoon,Saturday,5,None,Yes,10,40,Yes,Theft,28.61052456818573,77.21345866580177,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 5,2017-07-03
Alley,Evening,Friday,5,Gun,Yes,7,39,Yes,Theft,28.60459779376154,77.19527592597696,Type: Theft | Location: Alley | Time: Evening | Weapon: Gun | Suspects: 5,2022-12-08
Parking Lot,Night,Wednesday,5,None,Yes,9,57,No,Theft,28.597630316634785,77.19684724595446,Type: Theft | Location: Parking Lot | Time: Night | Weapon: None | Suspects: 5,2019-12-11
Parking Lot,Night,Thursday,4,Gun,No,7,20,No,Homicide,28.604710626758585,77.20498394337952,Type: Homicide | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 4,2017-06-04
Alley,Evening,Saturday,2,Blunt Object,Yes,3,24,Yes,Assault,28.597579719464097,77.19531473275514,Type: Assault | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 2,2020-05-11
Commercial,Evening,Monday,3,Gun,Yes,8,49,No,Burglary,28.61012449582179,77.210389959952,Type: Burglary | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 3,2016-10-26
Commercial,Morning,Tuesday,1,None,Yes,1,20,Yes,Vandalism,28.61582985674925,77.2137791631128,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: None | Suspects: 1,2021-12-07
Residential,Afternoon,Friday,1,Blunt Object,Yes,6,32,Yes,Burglary,28.622944151703194,77.19992384356706,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2017-05-07
Park,Morning,Thursday,2,None,Yes,0,22,Yes,Vandalism,28.56412846857656,77.2144892019019,Type: Vandalism | Location: Park | Time: Morning | Weapon: None | Suspects: 2,2020-01-07
Park,Evening,Sunday,2,Knife,Yes,2,35,No,Vandalism,28.57214677834837,77.21171248515707,Type: Vandalism | Location: Park | Time: Evening | Weapon: Knife | Suspects: 2,2020-09-09
Street,Night,Saturday,2,Blunt Object,No,10,60,Yes,Burglary,28.611311534902296,77.23342435092799,Type: Burglary | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 2,2023-09-10
Street,Night,Tuesday,2,Gun,Yes,3,54,No,Burglary,28.61002209434052,77.23325950893266,Type: Burglary | Location: Street | Time: Night | Weapon: Gun | Suspects: 2,2020-06-30
Commercial,Afternoon,Wednesday,4,Knife,No,1,53,Yes,Robbery,28.613190088083304,77.21320594550862,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 4,2017-02-24
Parking Lot,Afternoon,Friday,5,Gun,Yes,6,25,No,Burglary,28.60208218358701,77.20252223950747,Type: Burglary | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 5,2017-09-17
Parking Lot,Morning,Sunday,1,Blunt Object,Yes,3,50,Yes,Vandalism,28.603728608673823,77.20364185038193,Type: Vandalism | Location: Parking Lot | Time: Morning | Weapon: Blunt Object | Suspects: 1,2020-07-12
Alley,Night,Tuesday,3,Knife,No,2,32,No,Homicide,28.60138108115503,77.20272895309735,Type: Homicide | Location: Alley | Time: Night | Weapon: Knife | Suspects: 3,2023-10-19
Street,Morning,Wednesday,2,Knife,No,5,47,Yes,Assault,28.609925510755005,77.2255580102638,Type: Assault | Location: Street | Time: Morning | Weapon: Knife | Suspects: 2,2017-11-15
Parking Lot,Afternoon,Thursday,5,Knife,No,0,54,Yes,Robbery,28.6003535734207,77.20022077331733,Type: Robbery | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 5,2016-06-26
Park,Morning,Wednesday,1,Knife,Yes,10,30,No,Homicide,28.5722355304628,77.20751039878299,Type: Homicide | Location: Park | Time: Morning | Weapon: Knife | Suspects: 1,2022-11-05
Street,Evening,Thursday,1,Blunt Object,No,3,18,Yes,Vandalism,28.613111412533296,77.22559745929465,Type: Vandalism | Location: Street | Time: Evening | Weapon: Blunt Object | Suspects: 1,2020-01-26
Park,Afternoon,Wednesday,1,Gun,Yes,3,23,No,Vandalism,28.564861827003742,77.20928210363753,Type: Vandalism | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 1,2019-07-27
Alley,Evening,Wednesday,1,None,No,7,60,No,Homicide,28.600433429176995,77.19801694218968,Type: Homicide | Location: Alley | Time: Evening | Weapon: None | Suspects: 1,2023-04-26
Park,Afternoon,Wednesday,3,Blunt Object,No,1,47,Yes,Vandalism,28.571034067006707,77.21218593230219,Type: Vandalism | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2021-03-18
Street,Morning,Sunday,3,None,Yes,0,38,Yes,Vandalism,28.60528954329209,77.23484871502201,Type: Vandalism | Location: Street | Time: Morning | Weapon: None | Suspects: 3,2019-11-06
Park,Night,Saturday,5,None,No,2,50,Yes,Theft,28.56712150303073,77.2054347859496,Type: Theft | Location: Park | Time: Night | Weapon: None | Suspects: 5,2017-04-26
Commercial,Afternoon,Wednesday,4,Knife,No,2,26,Yes,Robbery,28.60914292498865,77.21261968321154,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 4,2024-11-12
Parking Lot,Afternoon,Tuesday,4,Knife,No,5,40,No,Homicide,28.59514554998533,77.19722988643464,Type: Homicide | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 4,2019-01-30
Alley,Morning,Wednesday,4,None,No,5,57,Yes,Theft,28.60446670165212,77.19900096924317,Type: Theft | Location: Alley | Time: Morning | Weapon: None | Suspects: 4,2016-06-12
Park,Evening,Friday,2,Blunt Object,No,9,57,No,Robbery,28.57007623764105,77.21482329839763,Type: Robbery | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 2,2020-09-07
Street,Morning,Tuesday,5,Knife,Yes,7,50,Yes,Vandalism,28.606089062600034,77.225484213289,Type: Vandalism | Location: Street | Time: Morning | Weapon: Knife | Suspects: 5,2019-04-26
Street,Afternoon,Friday,2,None,Yes,5,32,No,Theft,28.606745554922725,77.22531235928989,Type: Theft | Location: Street | Time: Afternoon | Weapon: None | Suspects: 2,2020-02-12
Commercial,Morning,Saturday,4,None,No,1,27,No,Vandalism,28.61527479159108,77.2139368616469,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: None | Suspects: 4,2015-09-16
Park,Morning,Sunday,4,Blunt Object,Yes,7,36,Yes,Vandalism,28.565948291379847,77.21349811875746,Type: Vandalism | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 4,2018-11-25
Commercial,Morning,Sunday,5,Knife,No,7,42,Yes,Robbery,28.612896189561525,77.2120093870973,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 5,2021-03-20
Street,Evening,Thursday,4,Blunt Object,No,0,57,No,Robbery,28.60802351913489,77.23396908266528,Type: Robbery | Location: Street | Time: Evening | Weapon: Blunt Object | Suspects: 4,2016-10-06
Commercial,Afternoon,Tuesday,4,None,No,4,35,Yes,Assault,28.60925458148941,77.20719650608389,Type: Assault | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 4,2021-12-21
Residential,Night,Tuesday,3,Blunt Object,No,9,38,No,Robbery,28.61725894764218,77.20244242685955,Type: Robbery | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 3,2020-06-13
Alley,Evening,Monday,3,Blunt Object,Yes,0,52,No,Homicide,28.59911826115798,77.20067417683804,Type: Homicide | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 3,2018-01-18
Alley,Night,Sunday,4,None,Yes,3,26,Yes,Robbery,28.59929471245832,77.20215182461493,Type: Robbery | Location: Alley | Time: Night | Weapon: None | Suspects: 4,2018-07-06
Street,Evening,Thursday,1,Gun,No,8,25,Yes,Burglary,28.610097036052416,77.23463077567148,Type: Burglary | Location: Street | Time: Evening | Weapon: Gun | Suspects: 1,2024-04-14
Parking Lot,Evening,Tuesday,5,Knife,No,8,35,Yes,Homicide,28.596521221455603,77.20128340086073,Type: Homicide | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 5,2021-09-25
Parking Lot,Morning,Friday,2,None,Yes,3,29,Yes,Theft,28.595352101393942,77.20425197772269,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 2,2015-03-21
Parking Lot,Night,Thursday,3,Gun,No,10,49,Yes,Assault,28.601942190216946,77.20183970745099,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 3,2019-04-17
Park,Evening,Monday,2,Gun,No,6,52,No,Vandalism,28.568767011859048,77.21392290304532,Type: Vandalism | Location: Park | Time: Evening | Weapon: Gun | Suspects: 2,2016-04-30
Street,Evening,Tuesday,3,Knife,Yes,3,20,Yes,Theft,28.60740639463624,77.22892792082006,Type: Theft | Location: Street | Time: Evening | Weapon: Knife | Suspects: 3,2017-09-19
Park,Night,Saturday,4,Blunt Object,Yes,0,58,No,Homicide,28.564770276145683,77.20773636160729,Type: Homicide | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 4,2015-07-02
Parking Lot,Morning,Thursday,1,Knife,No,10,27,Yes,Theft,28.598451938944283,77.20255952654449,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 1,2022-07-20
